LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
8,1,2,2,5,1,5,5,5,5,5,1000,44,5,9,F,18 to 25,4.41731204,0.5151515152,0.85432801,,,,
8,1,2,2,5,1,3,5,3,5,3,1000,42,4,10,F,12 to 17,3.8660978,0.4545454545,0.71652445,,,,
8,1,2,2,5,2,4,4,2,3,3,1000,45,2,11,M,18 to 25,2.9414365,0.5454545455,0.485359125,,,,
8,1,2,2,5,1,2,5,3,3,3,1000,40,4,12,M,18 to 25,2.85435265,0.3939393939,0.4635881625,,,,
8,1,2,2,5,1,5,5,4,5,4,1000,42,5,13,M,18 to 25,4.23361559,0.4545454545,0.8084038975,,,,
8,1,2,2,5,1,4,5,5,5,4,1000,42,5,14,F,18 to 25,4.26531075,0.4545454545,0.8163276875,,,,
8,1,2,2,5,1,3,4,4,5,4,1000,31,3,15,F,18 to 25,3.9309906,0.1212121212,0.73274765,,,,
8,1,2,2,5,2,4,4,5,5,4,1000,40,4,16,F,18 to 25,4.29217909,0.3939393939,0.8230447725,,,,
8,1,2,2,5,1,5,5,5,5,5,1000,40,3,17,M,18 to 25,4.41731204,0.3939393939,0.85432801,,,,
8,1,2,2,5,1,4,4,4,4,4,1000,40,3,18,F,18 to 25,3.56298403,0.3939393939,0.6407460075,,,,
8,1,2,2,5,5,5,5,5,5,5,1000,41,2,19,F,18 to 25,5,0.4242424242,1,,,,
8,1,2,2,5,1,4,5,4,4,4,1000,43,1,20,F,18 to 25,3.68178768,0.4848484848,0.67044692,,,,
8,1,2,2,5,3,5,5,5,5,4,1000,44,3,21,F,18 to 25,4.6485654,0.5151515152,0.91214135,,,,
8,1,2,2,5,2,3,2,4,3,4,1000,41,3,22,M,12 to 17,2.91922081,0.4242424242,0.4798052025,,,,
8,1,2,2,5,4,3,3,4,4,4,1000,44,4,23,F,12 to 17,3.78928568,0.5151515152,0.69732142,,,,
8,1,2,2,5,1,2,2,3,5,2,1000,36,4,24,F,18 to 25,3.35768556,0.2727272727,0.58942139,,,,
9,2,3,3,8,5,4,5,5,5,5,1000,46,5,1,F,18 to 25,4.90808933,0.5757575758,0.9770223325,,,,
